,hour,weekday,dayOfMonth,month,year,total minutes of parking,temperature,cloud_cover,pressure,windspeed,precipitation,felt_temperature,is_holiday
0,0,1,24,4,2018,0.0,15.0,29.0,988.0,7.0,0.0,15.0,0
1,1,1,24,4,2018,0.0,14.0,29.0,988.0,7.0,0.0,14.0,0
2,2,1,24,4,2018,0.0,14.0,33.0,987.0,0.0,0.0,14.0,0
3,3,1,24,4,2018,0.0,13.0,33.0,987.0,6.0,0.0,13.0,0
4,4,1,24,4,2018,0.0,13.0,33.0,987.0,0.0,0.0,13.0,0
5,5,1,24,4,2018,0.0,13.0,33.0,986.0,0.0,0.0,13.0,0
6,6,1,24,4,2018,0.0,13.0,34.0,987.0,6.0,0.0,13.0,0
7,7,1,24,4,2018,0.0,12.0,34.0,988.0,9.0,0.0,12.0,0
8,8,1,24,4,2018,0.0,13.0,30.0,988.0,9.0,0.0,13.0,0
9,9,1,24,4,2018,0.0,14.0,21.0,988.0,6.0,0.0,14.0,0
10,10,1,24,4,2018,0.0,17.0,30.0,988.0,6.0,0.0,17.0,0
11,11,1,24,4,2018,0.0,21.0,34.0,988.0,7.0,0.0,21.0,0
12,12,1,24,4,2018,0.0,23.0,30.0,988.0,20.0,0.0,23.0,0
13,13,1,24,4,2018,0.0,24.0,34.0,988.0,20.0,0.0,24.0,0
14,14,1,24,4,2018,0.0,24.0,34.0,987.0,11.0,0.0,24.0,0
15,15,1,24,4,2018,0.0,24.0,34.0,987.0,17.0,0.0,24.0,0
16,16,1,24,4,2018,0.0,24.0,34.0,987.0,20.0,0.0,24.0,0
17,17,1,24,4,2018,0.0,24.0,34.0,987.0,15.0,0.0,24.0,0
18,18,1,24,4,2018,0.0,24.0,30.0,986.0,17.0,0.0,24.0,0
19,19,1,24,4,2018,0.0,21.0,30.0,987.0,13.0,0.0,21.0,0
20,20,1,24,4,2018,0.0,19.0,29.0,987.0,11.0,0.0,19.0,0
21,21,1,24,4,2018,0.0,18.0,29.0,987.0,7.0,0.0,18.0,0
22,22,1,24,4,2018,0.0,18.0,29.0,988.0,15.0,0.0,18.0,0
23,23,1,24,4,2018,0.0,17.0,33.0,988.0,9.0,0.0,17.0,0
24,0,2,25,4,2018,0.0,16.0,33.0,989.0,13.0,0.0,16.0,0
25,1,2,25,4,2018,0.0,15.0,33.0,989.0,13.0,0.0,15.0,0
26,2,2,25,4,2018,0.0,14.0,29.0,989.0,7.0,0.0,14.0,0
27,3,2,25,4,2018,0.0,13.0,29.0,989.0,9.0,0.0,13.0,0
28,4,2,25,4,2018,0.0,12.0,26.0,989.0,11.0,0.0,12.0,0
29,5,2,25,4,2018,0.0,12.0,27.0,989.0,6.0,0.0,12.0,0
30,6,2,25,4,2018,0.0,12.0,28.0,989.0,9.0,0.0,12.0,0
31,7,2,25,4,2018,0.0,12.0,20.0,989.0,7.0,0.0,12.0,0
